Original_Index,Wavelength_nm,Note
0,450.0,
1,454.03225806451616,
2,458.06451612903226,
3,462.0967741935484,
4,466.1290322580645,
5,470.16129032258067,
6,474.19354838709677,
7,478.2258064516129,
8,482.258064516129,
9,486.2903225806452,
10,490.3225806451613,
11,494.35483870967744,
12,498.38709677419354,
13,502.4193548387097,
14,506.4516129032258,
15,510.48387096774195,
16,514.516129032258,
17,518.5483870967741,
18,522.5806451612904,
19,526.6129032258065,
20,530.6451612903226,
21,534.6774193548387,
22,538.7096774193549,
23,542.741935483871,
24,546.7741935483871,
25,550.8064516129032,
26,554.8387096774194,
27,558.8709677419355,
28,562.9032258064516,
29,566.9354838709678,
30,570.9677419354839,
31,575.0,
32,579.0322580645161,
33,583.0645161290322,
34,587.0967741935484,
35,591.1290322580645,
36,595.1612903225806,
37,599.1935483870968,
38,603.2258064516129,
39,607.258064516129,
40,611.2903225806451,
41,615.3225806451612,
42,619.3548387096774,
43,623.3870967741935,
44,627.4193548387096,
45,631.4516129032259,
46,635.483870967742,
47,639.516129032258,
48,643.5483870967741,
49,647.5806451612904,
50,651.6129032258065,
51,655.6451612903226,
52,659.6774193548388,
53,663.7096774193549,
54,667.741935483871,
55,671.7741935483871,
56,675.8064516129032,
57,679.8387096774194,
58,683.8709677419355,
59,687.9032258064516,
60,691.9354838709678,
61,695.9677419354839,
62,700.0,
63,704.0322580645161,
64,708.0645161290322,
65,712.0967741935484,
66,716.1290322580645,
67,720.1612903225807,
68,724.1935483870968,
69,728.2258064516129,
70,732.258064516129,
71,736.2903225806451,
72,740.3225806451612,
73,744.3548387096774,
74,748.3870967741935,
75,752.4193548387098,
76,756.4516129032259,
77,760.483870967742,
78,764.516129032258,
79,768.5483870967741,
80,772.5806451612902,
81,776.6129032258065,
82,780.6451612903226,
83,784.6774193548388,
84,788.7096774193549,
85,792.741935483871,
86,796.7741935483871,
87,800.8064516129032,
88,804.8387096774193,
89,808.8709677419355,
90,812.9032258064516,
91,816.9354838709678,
92,820.9677419354839,
93,825.0,
94,829.0322580645161,
95,833.0645161290322,
96,837.0967741935484,
97,841.1290322580645,
98,845.1612903225807,
99,849.1935483870968,
100,853.2258064516129,
101,857.258064516129,
102,861.2903225806451,
103,865.3225806451612,
104,869.3548387096774,
105,873.3870967741935,
106,877.4193548387098,
107,881.4516129032259,
108,885.483870967742,
109,889.516129032258,
110,893.5483870967741,
111,897.5806451612902,
112,901.6129032258065,
113,905.6451612903226,
114,909.6774193548388,
115,913.7096774193549,
116,917.741935483871,
117,921.7741935483871,
118,925.8064516129032,
119,929.8387096774193,
120,933.8709677419355,
121,937.9032258064516,
122,941.9354838709678,
123,945.9677419354839,
124,950.0,
